"Date","Residuals"
"2018-10-01",-0.17292069554748
"2018-10-02",0.043142338919187
"2018-10-03",0.0408144568078261
"2018-10-04",0.0520805680862894
"2018-10-05",0.0772785903860544
"2018-10-08",0.171295340765663
"2018-10-09",-0.0034243248355291
"2018-10-10",0.0289883966315121
"2018-10-11",0.000574734728513351
"2018-10-12",0.124721095235467
"2018-10-15",0.187399531275143
"2018-10-16",0.0525646992031478
"2018-10-17",0.107190136308228
"2018-10-18",0.153086739210504
"2018-10-19",0.21937433219358
"2018-10-22",0.203626470033427
"2018-10-23",0.112713439945264
"2018-10-24",0.125195117314863
"2018-10-25",0.107855862538972
"2018-10-26",0.0301508902759479
"2018-10-29",0.114985722347945
"2018-10-30",-0.0455818083280109
"2018-10-31",-0.306275334411783
"2018-11-01",-0.435591917365474
"2018-11-02",-0.411634733750506
"2018-11-05",-0.437549027468346
"2018-11-06",-0.329449817965495
"2018-11-07",-0.610616646229112
"2018-11-08",-0.43198528768144
"2018-11-09",0.384974349680794
"2018-11-12",-0.344416419863705
"2018-11-13",-0.25796239532294
"2018-11-14",-0.232794700135575
"2018-11-15",-0.259026693412584
"2018-11-16",-0.225309231876929
"2018-11-19",-0.214676360017955
"2018-11-20",-0.373238762663073
"2018-11-21",-0.285374940620457
"2018-11-22",-0.232865463397836
"2018-11-23",-0.370181972839425
"2018-11-26",-0.31376585718916
"2018-11-27",-0.233738057336128
"2018-11-28",-0.378598162001788
"2018-11-29",-0.294118938379463
"2018-11-30",-0.225902035146548
"2018-12-03",-0.245884344330983
"2018-12-04",-0.401271543522736
"2018-12-05",-0.360048395653499
"2018-12-06",-0.484363714977512
"2018-12-07",-0.221329038673322
"2018-12-10",-0.074359924088463
"2018-12-11",-0.163093180995158
"2018-12-12",-0.187543972949615
"2018-12-13",-0.320744448996645
"2018-12-14",-0.255725494551394
"2018-12-17",-0.266973915014293
"2018-12-18",-0.3996953144632
"2018-12-19",-0.366459456785035
"2018-12-20",-0.349120202009148
"2018-12-21",-0.332499745910698
"2018-12-24",-0.0894935012743838
"2018-12-25",-0.226947922520971
"2018-12-26",-0.364402343767664
"2018-12-27",-0.501856765014251
"2018-12-28",-0.396522638269195
"2018-12-31",-0.157274291318403
"2019-01-01",-0.296459640565287
"2019-01-02",-0.43564498981217
"2019-01-03",-0.501904782942217
"2019-01-04",-0.363660079856268
"2019-01-07",-0.444616073353656
"2019-01-08",-0.385483612773216
"2019-01-09",-0.272464731840071
"2019-01-10",-0.332288191244918
"2019-01-11",-0.28101197092899
"2019-01-14",-0.333181003258143
"2019-01-15",-0.372452095543235
"2019-01-16",-0.377808967622589
"2019-01-17",-0.240800048702708
"2019-01-18",-0.282603363544724
"2019-01-21",-0.401569392567478
"2019-01-22",-0.326389061083275
"2019-01-23",-0.273872002082551
"2019-01-24",-0.409627446020804
"2019-01-25",-0.52143076086282
"2019-01-28",-0.510553112405795
"2019-01-29",-0.630908720855465
"2019-01-30",-0.6793198554991
"2019-01-31",-0.795584703147878
"2019-02-01",-0.821859659834122
"2019-02-04",-0.811857132574757
"2019-02-05",-0.758116925704802
"2019-02-06",-0.819912658768716
"2019-02-07",-0.846341410715816
"2019-02-08",-0.89779922614563
"2019-02-11",-0.869415891355025
"2019-02-12",-0.980142271810567
"2019-02-13",-0.921738718945033
"2019-02-14",-0.923357911413797
"2019-02-15",-0.991378055976633
"2019-02-18",-0.962301195102254
"2019-02-19",-0.986931686726065
"2019-02-20",-0.940661784558559
"2019-02-21",-0.72443990031901
"2019-02-22",-0.918524416483587
"2019-02-25",-0.961072992714292
"2019-02-26",-0.918568570010403
"2019-02-27",-0.800149853588666
"2019-02-28",-0.806033820194109
"2019-03-01",-0.570877497673891
"2019-03-04",-0.846409646718713
"2019-03-05",-0.810883815822309
"2019-03-06",-0.876255851457859
"2019-03-07",-0.851433655682693
"2019-03-08",-0.837332785844337
"2019-03-11",-0.922694712442424
"2019-03-12",-0.983070538967024
"2019-03-13",-1.07094952456584
"2019-03-14",-1.03202645895232
"2019-03-15",-1.11864944231013
"2019-03-18",-1.19580457471276
"2019-03-19",-1.17633925101695
"2019-03-20",-1.16382977379433
"2019-03-21",-1.16350196519769
"2019-03-22",-1.1461854557561
"2019-03-25",-1.17601902419842
"2019-03-26",-1.23368861483031
"2019-03-27",-1.16830394289792
"2019-03-28",-1.22297234341223
"2019-03-29",-1.25101776056873
"2019-04-01",-0.751570127688486
"2019-04-02",-0.236051878570173
"2019-04-03",-0.719590272251314
"2019-04-04",-1.10134809642474
"2019-04-05",-1.04162283257468
"2019-04-08",-0.944331595726752
"2019-04-09",-1.06233152221465
"2019-04-10",-1.07541358463196
"2019-04-11",-1.05200876813675
"2019-04-12",-1.07522946225871
"2019-04-15",-1.14437455913599
"2019-04-16",-1.10723964480828
"2019-04-17",-1.10775915755627
"2019-04-18",-1.2033279518619
"2019-04-19",-1.17809045835229
"2019-04-22",-1.15285296484249
"2019-04-23",-1.12761547133288
"2019-04-24",-1.17655117324324
"2019-04-25",-1.26850322882737
"2019-04-26",-1.13850828334611
"2019-04-29",-1.07957510869512
"2019-04-30",-1.44815267489644
"2019-05-01",-1.20284627449231
"2019-05-02",-1.53161799859225
"2019-05-03",-1.76218040123737
"2019-05-06",-1.60794082618225
"2019-05-07",-1.49923466380165
"2019-05-08",-1.42833427001032
"2019-05-09",-1.47886389179578
"2019-05-10",-1.508170365712
"2019-05-13",-1.51746673059076
"2019-05-14",-1.58710859488173
"2019-05-15",-1.55228387184719
"2019-05-16",-1.62676941361793
