Date,CLOSE
2015-01-02,20.21
2015-01-05,19.953
2015-01-06,19.202
2015-01-07,19.379
2015-01-08,19.496
2015-01-09,19.42
2015-01-12,19.553
2015-01-13,19.91
2015-01-14,19.805
2015-01-15,19.736
2015-01-16,19.461
2015-01-19,19.112
2015-01-20,19.161
2015-01-21,19.35
2015-01-22,19.375
2015-01-23,19.474
2015-01-26,19.529
2015-01-27,19.797
2015-01-28,19.944
2015-01-29,20.319
2015-01-30,19.922
2015-02-02,20.12
2015-02-03,20.133
2015-02-04,20.328
2015-02-05,21.176
2015-02-06,21.124
2015-02-09,21.315
2015-02-10,22.114
2015-02-11,22.515
2015-02-12,23.413
2015-02-13,22.821
2015-02-16,22.29
2015-02-17,22.17
2015-02-18,22.391
2015-02-19,21.635
2015-02-20,21.897
2015-02-23,21.55
2015-02-24,21.995
2015-02-25,22.537
2015-02-26,22.747
2015-02-27,22.69
2015-03-02,22.181
2015-03-03,21.791
2015-03-04,22.064
2015-03-05,21.286
2015-03-06,21.183
2015-03-09,21.61
2015-03-10,21.563
2015-03-11,21.976
2015-03-12,21.643
2015-03-13,21.468
2015-03-16,21.24
2015-03-17,21.073
2015-03-18,21.276
2015-03-19,21.168
2015-03-20,21.099
2015-03-23,20.934
2015-03-24,21.209
2015-03-25,21.195
2015-03-26,21.813
2015-03-27,21.88
2015-03-30,21.562
2015-03-31,21.425
2015-04-01,21.88
2015-04-02,21.65
2015-04-07,21.477
2015-04-08,21.603
2015-04-09,21.738
2015-04-10,21.674
2015-04-13,22.007
2015-04-14,21.509
2015-04-15,21.697
2015-04-16,21.568
2015-04-17,21.122
2015-04-20,21.156
2015-04-21,21.285
2015-04-22,21.212
2015-04-23,21.004
2015-04-24,21.175
2015-04-27,20.916
2015-04-28,20.897
2015-04-29,20.933
2015-04-30,20.642
2015-05-05,20.462
2015-05-06,20.534
2015-05-07,20.32
2015-05-08,20.491
2015-05-11,21.186
2015-05-12,20.965
2015-05-13,20.891
2015-05-14,20.725
2015-05-15,20.67
2015-05-18,20.501
2015-05-19,20.556
2015-05-20,20.723
2015-05-21,20.579
2015-05-22,20.571
2015-05-26,20.604
2015-05-27,20.6
2015-05-28,20.653
2015-05-29,20.5
2015-06-01,20.309
2015-06-02,20.285
2015-06-03,20.296
2015-06-04,20.249
2015-06-05,20.278
2015-06-08,20.48
2015-06-09,20.576
2015-06-10,20.656
2015-06-11,20.228
2015-06-12,20.187
2015-06-15,20.18
2015-06-16,20.41
2015-06-17,20.32
2015-06-18,20.259
2015-06-19,20.525
2015-06-22,20.809
2015-06-23,20.738
2015-06-24,20.78
2015-06-25,20.651
2015-06-26,20.72
2015-06-29,21.536
2015-06-30,21.649
2015-07-01,21.74
2015-07-02,21.86
2015-07-03,21.84
2015-07-06,21.66
2015-07-07,21.55
2015-07-08,21.33
2015-07-09,21.57
2015-07-10,21.69
2015-07-13,21.79
2015-07-14,21.6
2015-07-15,21.71
2015-07-16,21.81
2015-07-17,21.86
2015-07-20,21.62
2015-07-21,21.51
2015-07-22,21.48
2015-07-23,21.29
2015-07-24,21.28
2015-07-27,21.16
2015-07-28,21.39
2015-07-29,21.38
2015-07-30,21.52
2015-07-31,21.18
2015-08-03,20.94
2015-08-04,20.82
2015-08-05,20.83
2015-08-06,20.91
2015-08-07,20.72
2015-08-10,20.81
2015-08-11,20.72
2015-08-12,20.33
2015-08-13,20.33
2015-08-14,20.39
2015-08-17,20.3
2015-08-18,20.42
2015-08-19,20.1
2015-08-20,19.95
2015-08-21,19.83
2015-08-24,19.34
2015-08-25,19.75
2015-08-26,19.54
2015-08-27,19.84
2015-08-28,19.92
2015-09-01,20.03
2015-09-02,19.99
2015-09-03,20.19
2015-09-04,19.97
2015-09-07,19.77
2015-09-08,19.9
2015-09-09,19.87
2015-09-10,19.87
2015-09-11,19.75
2015-09-14,19.63
2015-09-15,19.51
2015-09-16,19.69
2015-09-17,19.49
2015-09-18,19.33
2015-09-21,19.27
2015-09-22,19.34
2015-09-23,19.26
2015-09-24,19.09
2015-09-25,19.2
2015-09-28,18.91
2015-09-29,19.14
2015-09-30,19.12
2015-10-01,18.91
2015-10-02,18.61
2015-10-05,18.88
2015-10-06,19.55
2015-10-07,19.13
2015-10-08,19.4
2015-10-09,19.18
2015-10-12,18.83
2015-10-13,18.61
2015-10-14,18.48
2015-10-15,18.61
2015-10-16,18.65
2015-10-19,18.86
2015-10-20,18.48
2015-10-21,18.4
2015-10-22,18.52
2015-10-23,18.76
2015-10-26,18.42
2015-10-27,18.42
2015-10-28,18.43
2015-10-29,18.5
2015-10-30,18.41
2015-11-02,18.19
2015-11-03,18.2
2015-11-04,18.38
2015-11-05,18.03
2015-11-06,18.13
2015-11-09,17.76
2015-11-10,17.57
2015-11-11,17.45
2015-11-12,17.29
2015-11-13,17.39
2015-11-16,17.63
2015-11-17,18.29
2015-11-18,17.94
2015-11-19,18.05
2015-11-20,17.76
2015-11-23,17.71
2015-11-24,17.98
2015-11-25,18.17
2015-11-26,18.17
2015-11-27,18.19
