Date,CLOSE
2018-09-28,27.591
2018-10-01,27.586
2018-10-02,27.624
2018-10-03,27.431
2018-10-04,27.635
2018-10-05,28.344
2018-10-08,27.376
2018-10-09,27.041
2018-10-10,26.454
2018-10-11,25.85
2018-10-12,26.786
2018-10-15,26.918
2018-10-16,26.454
2018-10-17,26.115
2018-10-18,26.25
2018-10-19,26.999
2018-10-22,26.205
2018-10-23,25.731
2018-10-24,25.397
2018-10-25,24.963
2018-10-26,24.365
2018-10-29,24.662
2018-10-30,23.96
2018-10-31,24.509
2018-11-01,23.802
2018-11-02,24.405
2018-11-05,23.935
2018-11-06,24.046
2018-11-07,24.553
2018-11-08,24.547
2018-11-09,24.457
2018-11-12,26.016
2018-11-13,26.573
2018-11-14,26.418
2018-11-15,26.852
2018-11-16,25.922
2018-11-19,24.216
2018-11-20,24.418
2018-11-21,24.523
2018-11-22,24.744
2018-11-23,24.791
2018-11-26,24.514
2018-11-27,25.118
2018-11-28,24.25
2018-11-29,24.76
2018-11-30,24.804
2018-12-03,25.144
2018-12-04,24.453
2018-12-05,23.881
2018-12-06,23.244
2018-12-07,23.239
2018-12-10,23.303
2018-12-11,23.656
2018-12-12,23.985
2018-12-13,24.297
2018-12-14,24.669
2018-12-17,24.693
2018-12-18,23.741
2018-12-19,24.208
2018-12-20,24.651
2018-12-21,24.883
2018-12-24,24.59
2018-12-27,23.319
2018-12-28,22.73
2018-12-31,22.387
2019-01-02,22.51
2019-01-03,22.335
2019-01-04,23.116
2019-01-07,21.733
2019-01-08,22.314
2019-01-09,21.992
2019-01-10,21.895
2019-01-11,22.45
2019-01-14,21.872
2019-01-15,22.226
2019-01-16,22.231
2019-01-17,23.238
2019-01-18,22.875
2019-01-21,22.041
2019-01-22,22.092
2019-01-23,22.493
2019-01-24,21.483
2019-01-25,21.058
2019-01-28,20.759
2019-01-29,20.747
2019-01-31,20.027
2019-02-01,19.518
2019-02-04,19.553
2019-02-05,19.352
2019-02-06,19.091
2019-02-07,19.091
