"Date","CLOSE"
2018-10-01,27.18
2018-10-02,27.23
2018-10-03,27.1
2018-10-04,27.43
2018-10-05,27.84
2018-10-08,27.3233333333333
2018-10-09,26.8066666666667
2018-10-10,26.29
2018-10-11,25.85
2018-10-12,26.75
2018-10-15,26.81
2018-10-16,26.41
2018-10-17,26.12
2018-10-18,26.24
2018-10-19,27.05
2018-10-22,26.37
2018-10-23,25.88
2018-10-24,25.53
2018-10-25,25.16
2018-10-26,24.56
2018-10-29,24.91
2018-10-30,24.12
2018-10-31,24.27
2018-11-01,23.53
2018-11-02,24.12
2018-11-05,23.67
2018-11-06,23.8566666666667
2018-11-07,24.0433333333333
2018-11-08,24.23
2018-11-09,24.955
2018-11-12,25.68
2018-11-13,26.27
2018-11-14,26.08
2018-11-15,26.41
2018-11-16,25.8
2018-11-19,24.2
2018-11-20,24.22
2018-11-21,24.44
2018-11-22,24.68
2018-11-23,24.64
2018-11-26,24.45
2018-11-27,25.08
2018-11-28,24.17
2018-11-29,24.55
2018-11-30,24.67
2018-12-03,25
2018-12-04,24.25
2018-12-05,23.76
2018-12-06,23.05
2018-12-07,23.2925
2018-12-10,23.535
2018-12-11,23.7775
2018-12-12,24.02
2018-12-13,24.16
2018-12-14,24.6
2018-12-17,24.62
2018-12-18,23.64
2018-12-19,24.1
2018-12-20,24.47
2018-12-21,24.75
2018-12-24,24.41
2018-12-25,23.9966666666667
2018-12-26,23.5833333333333
2018-12-27,23.17
2018-12-28,22.82
2018-12-31,22.32
2019-01-01,22.4
2019-01-02,22.48
2019-01-03,22.22
2019-01-04,22.96
2019-01-07,21.63
2019-01-08,22.19
2019-01-09,21.97
2019-01-10,21.87
2019-01-11,22.44
2019-01-14,21.87
2019-01-15,22.12
2019-01-16,22.12
2019-01-17,23.14
2019-01-18,22.75
2019-01-21,21.89
2019-01-22,22
2019-01-23,22.39
2019-01-24,21.44
2019-01-25,20.98
2019-01-28,20.69
2019-01-29,20.6
2019-01-30,20.19
2019-01-31,19.78
2019-02-01,19.26
2019-02-04,19.32
2019-02-05,19.18
2019-02-06,18.92
2019-02-07,18.89
2019-02-08,18.26
2019-02-11,18.1
2019-02-12,17.75
2019-02-13,18.02
2019-02-14,17.78
2019-02-15,18.02
2019-02-18,17.45
2019-02-19,17.67
2019-02-20,18.11
2019-02-21,17.77
2019-02-22,17.317
2019-02-25,17.02
2019-02-26,17.15
2019-02-27,17.78
2019-02-28,17.95
2019-03-01,17.745
2019-03-04,17.54
2019-03-05,17.38
2019-03-06,17.02
2019-03-07,17.06
2019-03-08,16.95
2019-03-11,16.77
2019-03-12,16.34
2019-03-13,15.82
2019-03-14,15.75
2019-03-15,15.35
2019-03-18,15.03
2019-03-19,15.07
2019-03-20,15.27
2019-03-21,14.69
2019-03-22,14.61
2019-03-25,14.34
2019-03-26,14.46
2019-03-27,15.07
2019-03-28,14.51
2019-03-29,14.29
2019-04-01,14.46
2019-04-02,14.63
2019-04-03,14.8
2019-04-04,14.97
2019-04-05,16.66
2019-04-08,16.16
2019-04-09,16.75
2019-04-10,15.82
2019-04-11,16.08
2019-04-12,15.93
2019-04-15,15.11
2019-04-16,14.99
2019-04-17,15.31
2019-04-18,14.56
2019-04-19,14.5733333333333
2019-04-22,14.5866666666667
2019-04-23,14.6
2019-04-24,14.41
2019-04-25,14.56
2019-04-26,14.59
2019-04-29,14.74
2019-04-30,14.25
