Date,HIGH,LOW,OPEN,CLOSE,VOLUME,ticker
2015-01-02,,,,20.21,,PNCGQc1
2015-01-05,,,,19.953,,PNCGQc1
2015-01-06,,,,19.202,,PNCGQc1
2015-01-07,,,,19.379,,PNCGQc1
2015-01-08,,,,19.496,,PNCGQc1
2015-01-09,,,,19.42,,PNCGQc1
2015-01-12,,,,19.553,,PNCGQc1
2015-01-13,,,,19.91,,PNCGQc1
2015-01-14,,,,19.805,,PNCGQc1
2015-01-15,,,,19.736,,PNCGQc1
2015-01-16,,,,19.461,,PNCGQc1
2015-01-19,,,,19.112,,PNCGQc1
2015-01-20,,,,19.161,,PNCGQc1
2015-01-21,,,,19.35,,PNCGQc1
2015-01-22,,,,19.375,,PNCGQc1
2015-01-23,,,,19.474,,PNCGQc1
2015-01-26,,,,19.529,,PNCGQc1
2015-01-27,,,,19.797,,PNCGQc1
2015-01-28,,,,19.944,,PNCGQc1
2015-01-29,,,,20.319,,PNCGQc1
2015-01-30,,,,19.922,,PNCGQc1
2015-02-02,20.1,20.1,20.1,20.12,10,PNCGQc1
2015-02-03,,,,20.133,,PNCGQc1
2015-02-04,,,,20.328,,PNCGQc1
2015-02-05,,,,21.176,,PNCGQc1
2015-02-06,,,,21.124,,PNCGQc1
2015-02-09,,,,21.315,,PNCGQc1
2015-02-10,,,,22.114,,PNCGQc1
2015-02-11,,,,22.515,,PNCGQc1
2015-02-12,,,,23.413,,PNCGQc1
2015-02-13,,,,22.821,,PNCGQc1
2015-02-16,,,,22.29,,PNCGQc1
2015-02-17,,,,22.17,,PNCGQc1
2015-02-18,,,,22.391,,PNCGQc1
2015-02-19,,,,21.635,,PNCGQc1
2015-02-20,21.925,21.925,21.925,21.897,15,PNCGQc1
2015-02-23,,,,21.55,,PNCGQc1
2015-02-24,,,,21.995,,PNCGQc1
2015-02-25,,,,22.537,,PNCGQc1
2015-02-26,,,,22.747,,PNCGQc1
2015-02-27,,,,22.69,,PNCGQc1
2015-03-02,,,,22.181,,PNCGQc1
2015-03-03,,,,21.791,,PNCGQc1
2015-03-04,,,,22.064,,PNCGQc1
2015-03-05,,,,21.286,,PNCGQc1
2015-03-06,21.15,21.15,21.15,21.183,15,PNCGQc1
2015-03-09,,,,21.61,,PNCGQc1
2015-03-10,21.55,21.55,21.55,21.563,15,PNCGQc1
2015-03-11,21.925,21.925,21.925,21.976,20,PNCGQc1
2015-03-12,21.7,21.65,21.65,21.643,20,PNCGQc1
2015-03-13,21.5,21.5,21.5,21.468,10,PNCGQc1
2015-03-16,,,,21.24,,PNCGQc1
2015-03-17,21.15,21.15,21.15,21.073,10,PNCGQc1
2015-03-18,,,,21.276,,PNCGQc1
2015-03-19,,,,21.168,,PNCGQc1
2015-03-20,21.125,20.875,20.875,21.099,20,PNCGQc1
2015-03-23,,,,20.934,,PNCGQc1
2015-03-24,,,,21.209,,PNCGQc1
2015-03-25,,,,21.195,,PNCGQc1
2015-03-26,,,,21.813,,PNCGQc1
2015-03-27,22.0,22.0,22.0,21.88,5,PNCGQc1
2015-03-30,,,,21.562,,PNCGQc1
2015-03-31,,,,21.425,,PNCGQc1
2015-04-01,,,,21.88,,PNCGQc1
2015-04-02,21.875,21.875,21.875,21.65,30,PNCGQc1
2015-04-07,,,,21.477,,PNCGQc1
2015-04-08,21.6,21.6,21.6,21.603,5,PNCGQc1
2015-04-09,,,,21.738,,PNCGQc1
2015-04-10,21.5,21.5,21.5,21.674,60,PNCGQc1
2015-04-13,21.825,21.5,21.5,22.007,395,PNCGQc1
2015-04-14,,,,21.509,,PNCGQc1
2015-04-15,,,,21.697,,PNCGQc1
2015-04-16,,,,21.568,,PNCGQc1
2015-04-17,21.25,21.25,21.25,21.122,30,PNCGQc1
2015-04-20,,,,21.156,,PNCGQc1
2015-04-21,,,,21.285,,PNCGQc1
2015-04-22,,,,21.212,,PNCGQc1
2015-04-23,,,,21.004,,PNCGQc1
2015-04-24,,,,21.175,,PNCGQc1
2015-04-27,,,,20.916,,PNCGQc1
2015-04-28,,,,20.897,,PNCGQc1
2015-04-29,,,,20.933,,PNCGQc1
2015-04-30,,,,20.642,,PNCGQc1
2015-05-05,20.45,20.45,20.45,20.462,30,PNCGQc1
2015-05-06,,,,20.534,,PNCGQc1
2015-05-07,,,,20.32,,PNCGQc1
2015-05-08,,,,20.491,,PNCGQc1
2015-05-11,,,,21.186,,PNCGQc1
2015-05-12,,,,20.965,,PNCGQc1
2015-05-13,20.85,20.85,20.85,20.891,5,PNCGQc1
2015-05-14,,,,20.725,,PNCGQc1
2015-05-15,,,,20.67,,PNCGQc1
2015-05-18,,,,20.501,,PNCGQc1
2015-05-19,,,,20.556,,PNCGQc1
2015-05-20,,,,20.723,,PNCGQc1
2015-05-21,,,,20.579,,PNCGQc1
2015-05-22,,,,20.571,,PNCGQc1
