hub1_CLOSE-0,hub2_CLOSE-0,hub1_hub2_diff-0,hub1_hub2_diff-1,hub1_hub2_diff-2,hub1_hub2_diff-3,hub1_hub2_diff-4,hub1_hub2_diff-5,ttf,nbp
26.835,28.0484539529805,-1.2134539529804975,-1.1752562186508015,-1.3668678472719975,-1.2578982154434009,-1.3169632511004004,-1.189208414371997,26.328,27.4358822124407
26.22,27.3992049680964,-1.1792049680963999,-1.2134539529804975,-1.1752562186508015,-1.3668678472719975,-1.2578982154434009,-1.3169632511004004,25.942,27.1122939911966
25.759,26.9094427952366,-1.1504427952366,-1.1792049680963999,-1.2134539529804975,-1.1752562186508015,-1.3668678472719975,-1.2578982154434009,26.025,27.0848397993653
26.628,28.0210741461084,-1.3930741461084004,-1.1504427952366,-1.1792049680963999,-1.2134539529804975,-1.1752562186508015,-1.3668678472719975,26.858,28.1084273381786
26.625,27.9974941140342,-1.3724941140342004,-1.3930741461084004,-1.1504427952366,-1.1792049680963999,-1.2134539529804975,-1.1752562186508015,26.114,27.1920861910124
26.328,27.4358822124407,-1.1078822124406997,-1.3724941140342004,-1.3930741461084004,-1.1504427952366,-1.1792049680963999,-1.2134539529804975,25.667,26.7580714505067
25.942,27.1122939911966,-1.1702939911966013,-1.1078822124406997,-1.3724941140342004,-1.3930741461084004,-1.1504427952366,-1.1792049680963999,25.261,26.2522339372846
26.025,27.0848397993653,-1.059839799365303,-1.1702939911966013,-1.1078822124406997,-1.3724941140342004,-1.3930741461084004,-1.1504427952366,24.866,25.8702644419422
26.858,28.1084273381786,-1.2504273381786,-1.059839799365303,-1.1702939911966013,-1.1078822124406997,-1.3724941140342004,-1.3930741461084004,24.281,25.0372040809363
26.114,27.1920861910124,-1.0780861910123996,-1.2504273381786,-1.059839799365303,-1.1702939911966013,-1.1078822124406997,-1.3724941140342004,24.578,25.7736554406797
25.667,26.7580714505067,-1.0910714505066998,-1.0780861910123996,-1.2504273381786,-1.059839799365303,-1.1702939911966013,-1.1078822124406997,23.873,24.7879810284232
25.261,26.2522339372846,-0.9912339372846013,-1.0910714505066998,-1.0780861910123996,-1.2504273381786,-1.059839799365303,-1.1702939911966013,24.333,26.2488463507012
24.866,25.8702644419422,-1.004264441942201,-0.9912339372846013,-1.0910714505066998,-1.0780861910123996,-1.2504273381786,-1.059839799365303,23.649,25.5618889685058
24.281,25.0372040809363,-0.7562040809362998,-1.004264441942201,-0.9912339372846013,-1.0910714505066998,-1.0780861910123996,-1.2504273381786,24.283,26.2483161019552
24.578,25.7736554406797,-1.195655440679701,-0.7562040809362998,-1.004264441942201,-0.9912339372846013,-1.0910714505066998,-1.0780861910123996,23.808,25.6743064796806
23.873,24.7879810284232,-0.914981028423199,-1.195655440679701,-0.7562040809362998,-1.004264441942201,-0.9912339372846013,-1.0910714505066998,23.896,25.828316784386
24.333,26.2488463507012,-1.9158463507012016,-0.914981028423199,-1.195655440679701,-0.7562040809362998,-1.004264441942201,-0.9912339372846013,24.42,26.3840556863548
23.649,25.5618889685058,-1.9128889685058006,-1.9158463507012016,-0.914981028423199,-1.195655440679701,-0.7562040809362998,-1.004264441942201,24.429,26.2824874603337
24.283,26.2483161019552,-1.9653161019551995,-1.9128889685058006,-1.9158463507012016,-0.914981028423199,-1.195655440679701,-0.7562040809362998,24.326,26.1993824001092
23.808,25.6743064796806,-1.866306479680599,-1.9653161019551995,-1.9128889685058006,-1.9158463507012016,-0.914981028423199,-1.195655440679701,25.955,27.9158863070256
23.896,25.828316784386,-1.9323167843859999,-1.866306479680599,-1.9653161019551995,-1.9128889685058006,-1.9158463507012016,-0.914981028423199,26.519,28.5029051079947
24.42,26.3840556863548,-1.964055686354797,-1.9323167843859999,-1.866306479680599,-1.9653161019551995,-1.9128889685058006,-1.9158463507012016,26.278,28.2784863684444
24.429,26.2824874603337,-1.853487460333703,-1.964055686354797,-1.9323167843859999,-1.866306479680599,-1.9653161019551995,-1.9128889685058006,26.677,28.7001398983178
24.326,26.1993824001092,-1.8733824001092003,-1.853487460333703,-1.964055686354797,-1.9323167843859999,-1.866306479680599,-1.9653161019551995,25.956,27.6977049851571
25.955,27.9158863070256,-1.9608863070256,-1.8733824001092003,-1.853487460333703,-1.964055686354797,-1.9323167843859999,-1.866306479680599,24.152,25.618354318081
26.519,28.5029051079947,-1.9839051079947012,-1.9608863070256,-1.8733824001092003,-1.853487460333703,-1.964055686354797,-1.9323167843859999,24.352,25.6424523151466
26.278,28.2784863684444,-2.0004863684444025,-1.9839051079947012,-1.9608863070256,-1.8733824001092003,-1.853487460333703,-1.964055686354797,24.5,25.78681953117
26.677,28.7001398983178,-2.023139898317801,-2.0004863684444025,-1.9839051079947012,-1.9608863070256,-1.8733824001092003,-1.853487460333703,24.71,25.8229552666598
25.956,27.6977049851571,-1.7417049851570994,-2.023139898317801,-2.0004863684444025,-1.9839051079947012,-1.9608863070256,-1.8733824001092003,24.819,26.0663114614256
24.152,25.618354318081,-1.4663543180809988,-1.7417049851570994,-2.023139898317801,-2.0004863684444025,-1.9839051079947012,-1.9608863070256,24.543,25.4770897737742
24.352,25.6424523151466,-1.2904523151465987,-1.4663543180809988,-1.7417049851570994,-2.023139898317801,-2.0004863684444025,-1.9839051079947012,25.159,26.2334466168492
24.5,25.78681953117,-1.28681953117,-1.2904523151465987,-1.4663543180809988,-1.7417049851570994,-2.023139898317801,-2.0004863684444025,24.302,24.9277496843758
24.71,25.8229552666598,-1.1129552666597995,-1.28681953117,-1.2904523151465987,-1.4663543180809988,-1.7417049851570994,-2.023139898317801,24.633,25.3898317808032
24.819,26.0663114614256,-1.2473114614255998,-1.1129552666597995,-1.28681953117,-1.2904523151465987,-1.4663543180809988,-1.7417049851570994,24.691,25.9609683693316
24.543,25.4770897737742,-0.9340897737742004,-1.2473114614255998,-1.1129552666597995,-1.28681953117,-1.2904523151465987,-1.4663543180809988,25.083,26.2906158938138
25.159,26.2334466168492,-1.074446616849201,-0.9340897737742004,-1.2473114614255998,-1.1129552666597995,-1.28681953117,-1.2904523151465987,24.417,25.6108250588597
24.302,24.9277496843758,-0.6257496843758013,-1.074446616849201,-0.9340897737742004,-1.2473114614255998,-1.1129552666597995,-1.28681953117,23.822,24.8171153649299
24.633,25.3898317808032,-0.7568317808031999,-0.6257496843758013,-1.074446616849201,-0.9340897737742004,-1.2473114614255998,-1.1129552666597995,23.166,24.1420452451633
24.691,25.9609683693316,-1.2699683693316004,-0.7568317808031999,-0.6257496843758013,-1.074446616849201,-0.9340897737742004,-1.2473114614255998,23.143,24.136810318354
25.083,26.2906158938138,-1.2076158938138022,-1.2699683693316004,-0.7568317808031999,-0.6257496843758013,-1.074446616849201,-0.9340897737742004,23.25,24.3217893336063
24.417,25.6108250588597,-1.193825058859698,-1.2076158938138022,-1.2699683693316004,-0.7568317808031999,-0.6257496843758013,-1.074446616849201,23.621,24.5597553485515
23.822,24.8171153649299,-0.9951153649299016,-1.193825058859698,-1.2076158938138022,-1.2699683693316004,-0.7568317808031999,-0.6257496843758013,23.92,25.0299007063159
23.166,24.1420452451633,-0.9760452451632986,-0.9951153649299016,-1.193825058859698,-1.2076158938138022,-1.2699683693316004,-0.7568317808031999,24.226,25.2799017299621
23.143,24.136810318354,-0.9938103183540008,-0.9760452451632986,-0.9951153649299016,-1.193825058859698,-1.2076158938138022,-1.2699683693316004,24.646,25.8101955164295
23.25,24.3217893336063,-1.0717893336063007,-0.9938103183540008,-0.9760452451632986,-0.9951153649299016,-1.193825058859698,-1.2076158938138022,24.681,25.822012488484
23.621,24.5597553485515,-0.9387553485515028,-1.0717893336063007,-0.9938103183540008,-0.9760452451632986,-0.9951153649299016,-1.193825058859698,23.732,24.8753284198314
23.92,25.0299007063159,-1.1099007063158979,-0.9387553485515028,-1.0717893336063007,-0.9938103183540008,-0.9760452451632986,-0.9951153649299016,24.21,25.4280861227693
24.226,25.2799017299621,-1.0539017299620994,-1.1099007063158979,-0.9387553485515028,-1.0717893336063007,-0.9938103183540008,-0.9760452451632986,24.605,25.8896018016174
24.646,25.8101955164295,-1.1641955164294977,-1.0539017299620994,-1.1099007063158979,-0.9387553485515028,-1.0717893336063007,-0.9938103183540008,24.9,26.1785426689869
24.681,25.822012488484,-1.141012488483998,-1.1641955164294977,-1.0539017299620994,-1.1099007063158979,-0.9387553485515028,-1.0717893336063007,24.247,25.5830879994541
23.732,24.8753284198314,-1.143328419831402,-1.141012488483998,-1.1641955164294977,-1.0539017299620994,-1.1099007063158979,-0.9387553485515028,23.938,25.5761947657556
24.21,25.4280861227693,-1.2180861227693,-1.143328419831402,-1.141012488483998,-1.1641955164294977,-1.0539017299620994,-1.1099007063158979,23.629,25.5693015320572
24.605,25.8896018016174,-1.2846018016173986,-1.2180861227693,-1.143328419831402,-1.141012488483998,-1.1641955164294977,-1.0539017299620994,23.32,24.2862537960214
24.9,26.1785426689869,-1.2785426689869013,-1.2846018016173986,-1.2180861227693,-1.143328419831402,-1.141012488483998,-1.1641955164294977,22.81,23.7060971781486
24.247,25.5830879994541,-1.3360879994541008,-1.2785426689869013,-1.2846018016173986,-1.2180861227693,-1.143328419831402,-1.141012488483998,21.982,23.1739676527792
23.938,25.5761947657556,-1.6381947657555997,-1.3360879994541008,-1.2785426689869013,-1.2846018016173986,-1.2180861227693,-1.143328419831402,22.2275,23.3722924557273
23.629,25.5693015320572,-1.9403015320571981,-1.6381947657555997,-1.3360879994541008,-1.2785426689869013,-1.2846018016173986,-1.2180861227693,22.473,23.5706172586754
23.32,24.2862537960214,-0.9662537960213982,-1.9403015320571981,-1.6381947657555997,-1.3360879994541008,-1.2785426689869013,-1.2846018016173986,22.256,23.3788463507012
22.81,23.7060971781486,-0.8960971781486009,-0.9662537960213982,-1.9403015320571981,-1.6381947657555997,-1.3360879994541008,-1.2785426689869013,22.93,24.2104531340635
21.982,23.1739676527792,-1.1919676527792014,-0.8960971781486009,-0.9662537960213982,-1.9403015320571981,-1.6381947657555997,-1.3360879994541008,21.531,22.5134213669089
22.2275,23.3722924557273,-1.144792455727302,-1.1919676527792014,-0.8960971781486009,-0.9662537960213982,-1.9403015320571981,-1.6381947657555997,22.092,23.0345883236087
22.473,23.5706172586754,-1.0976172586754025,-1.144792455727302,-1.1919676527792014,-0.8960971781486009,-0.9662537960213982,-1.9403015320571981,21.719,22.7014873579691
22.256,23.3788463507012,-1.1228463507011988,-1.0976172586754025,-1.144792455727302,-1.1919676527792014,-0.8960971781486009,-0.9662537960213982,21.674,22.6491517384925
22.93,24.2104531340635,-1.2804531340634995,-1.1228463507011988,-1.0976172586754025,-1.144792455727302,-1.1919676527792014,-0.8960971781486009,22.255,23.4441218821442
21.531,22.5134213669089,-0.9824213669089019,-1.2804531340634995,-1.1228463507011988,-1.0976172586754025,-1.144792455727302,-1.1919676527792014,21.675,22.6904903265431
22.092,23.0345883236087,-0.9425883236086996,-0.9824213669089019,-1.2804531340634995,-1.1228463507011988,-1.0976172586754025,-1.144792455727302,21.999,23.2972208004913
21.719,22.7014873579691,-0.9824873579690987,-0.9425883236086996,-0.9824213669089019,-1.2804531340634995,-1.1228463507011988,-1.0976172586754025,22.005,23.204555225714
21.674,22.6491517384925,-0.9751517384924995,-0.9824873579690987,-0.9425883236086996,-0.9824213669089019,-1.2804531340634995,-1.1228463507011988,22.994,24.4922724946259
22.255,23.4441218821442,-1.1891218821441996,-0.9751517384924995,-0.9824873579690987,-0.9425883236086996,-0.9824213669089019,-1.2804531340634995,22.604,23.8836155184768
21.675,22.6904903265431,-1.0154903265430981,-1.1891218821441996,-0.9751517384924995,-0.9824873579690987,-0.9425883236086996,-0.9824213669089019,21.774,22.9355010748285
21.999,23.2972208004913,-1.2982208004913005,-1.0154903265430981,-1.1891218821441996,-0.9751517384924995,-0.9824873579690987,-0.9425883236086996,21.813,23.0735271436858
22.005,23.204555225714,-1.1995552257140005,-1.2982208004913005,-1.0154903265430981,-1.1891218821441996,-0.9751517384924995,-0.9824873579690987,22.191,23.5773432968233
22.994,24.4922724946259,-1.4982724946259012,-1.1995552257140005,-1.2982208004913005,-1.0154903265430981,-1.1891218821441996,-0.9751517384924995,21.279,22.6983775207288
22.604,23.8836155184768,-1.2796155184768025,-1.4982724946259012,-1.1995552257140005,-1.2982208004913005,-1.0154903265430981,-1.1891218821441996,20.889,22.125732418876
21.774,22.9355010748285,-1.1615010748285002,-1.2796155184768025,-1.4982724946259012,-1.1995552257140005,-1.2982208004913005,-1.0154903265430981,20.552,21.6886068174839
21.813,23.0735271436858,-1.2605271436858025,-1.1615010748285002,-1.2796155184768025,-1.4982724946259012,-1.1995552257140005,-1.2982208004913005,20.586,21.4974456614461
22.191,23.5773432968233,-1.386343296823302,-1.2605271436858025,-1.1615010748285002,-1.2796155184768025,-1.4982724946259012,-1.1995552257140005,20.181,21.0709857713174
21.279,22.6983775207288,-1.4193775207288013,-1.386343296823302,-1.2605271436858025,-1.1615010748285002,-1.2796155184768025,-1.4982724946259012,19.852,20.1249175964787
20.889,22.125732418876,-1.2367324188760023,-1.4193775207288013,-1.386343296823302,-1.2605271436858025,-1.1615010748285002,-1.2796155184768025,19.299,19.507259699048
20.552,21.6886068174839,-1.1366068174839015,-1.2367324188760023,-1.4193775207288013,-1.386343296823302,-1.2605271436858025,-1.1615010748285002,19.355,19.7025516088307
20.586,21.4974456614461,-0.911445661446102,-1.1366068174839015,-1.2367324188760023,-1.4193775207288013,-1.386343296823302,-1.2605271436858025,19.138,19.5602033643839
20.181,21.0709857713174,-0.8899857713173986,-0.911445661446102,-1.1366068174839015,-1.2367324188760023,-1.4193775207288013,-1.386343296823302,18.916,19.3702623946497
19.852,20.1249175964787,-0.27291759647869895,-0.8899857713173986,-0.911445661446102,-1.1366068174839015,-1.2367324188760023,-1.4193775207288013,18.912,19.4076633568772
19.299,19.507259699048,-0.2082596990479999,-0.27291759647869895,-0.8899857713173986,-0.911445661446102,-1.1366068174839015,-1.2367324188760023,18.264,18.7481403760194
19.355,19.7025516088307,-0.3475516088306989,-0.2082596990479999,-0.27291759647869895,-0.8899857713173986,-0.911445661446102,-1.1366068174839015,18.053,18.599031289453
19.138,19.5602033643839,-0.42220336438389694,-0.3475516088306989,-0.2082596990479999,-0.27291759647869895,-0.8899857713173986,-0.911445661446102,17.785,18.2424813184563
18.916,19.3702623946497,-0.45426239464969953,-0.42220336438389694,-0.3475516088306989,-0.2082596990479999,-0.27291759647869895,-0.8899857713173986,18.022,18.5332418876036
18.912,19.4076633568772,-0.495663356877202,-0.45426239464969953,-0.42220336438389694,-0.3475516088306989,-0.2082596990479999,-0.27291759647869895,17.755,18.1971235540997
18.264,18.7481403760194,-0.4841403760194005,-0.495663356877202,-0.45426239464969953,-0.42220336438389694,-0.3475516088306989,-0.2082596990479999,18.1,18.5459023441499
18.053,18.599031289453,-0.5460312894529977,-0.4841403760194005,-0.495663356877202,-0.45426239464969953,-0.42220336438389694,-0.3475516088306989,17.429,17.8436871737128
17.785,18.2424813184563,-0.45748131845629914,-0.5460312894529977,-0.4841403760194005,-0.495663356877202,-0.45426239464969953,-0.42220336438389694,17.703,18.2082417169959
18.022,18.5332418876036,-0.5112418876036031,-0.45748131845629914,-0.5460312894529977,-0.4841403760194005,-0.495663356877202,-0.45426239464969953,18.144,18.6204442624629
17.755,18.1971235540997,-0.4421235540997017,-0.5112418876036031,-0.45748131845629914,-0.5460312894529977,-0.4841403760194005,-0.495663356877202,17.521,17.9168799262975
18.1,18.5459023441499,-0.44590234414989993,-0.4421235540997017,-0.5112418876036031,-0.45748131845629914,-0.5460312894529977,-0.4841403760194005,17.231,17.6447026307708
17.429,17.8436871737128,-0.41468717371280306,-0.44590234414989993,-0.4421235540997017,-0.5112418876036031,-0.45748131845629914,-0.5460312894529977,16.946,17.3420138533456
17.703,18.2082417169959,-0.5052417169959007,-0.41468717371280306,-0.44590234414989993,-0.4421235540997017,-0.5112418876036031,-0.45748131845629914,17.044,17.3788733067185
18.144,18.6204442624629,-0.47644426246290195,-0.5052417169959007,-0.41468717371280306,-0.44590234414989993,-0.4421235540997017,-0.5112418876036031,17.617,17.9348623195824
17.521,17.9168799262975,-0.3958799262974999,-0.47644426246290195,-0.5052417169959007,-0.41468717371280306,-0.44590234414989993,-0.4421235540997017,17.814,17.5449643429897
17.231,17.6447026307708,-0.41370263077079983,-0.3958799262974999,-0.47644426246290195,-0.5052417169959007,-0.41468717371280306,-0.44590234414989993,17.321,17.0695755280308
16.946,17.3420138533456,-0.3960138533455968,-0.41370263077079983,-0.3958799262974999,-0.47644426246290195,-0.5052417169959007,-0.41468717371280306,17.4,17.1046780632613
17.044,17.3788733067185,-0.33487330671849946,-0.3960138533455968,-0.41370263077079983,-0.3958799262974999,-0.47644426246290195,-0.5052417169959007,17.181,17.0251980755451
17.617,17.9348623195824,-0.3178623195823995,-0.33487330671849946,-0.3960138533455968,-0.41370263077079983,-0.3958799262974999,-0.47644426246290195,16.851,16.7217279148326
17.814,17.5449643429897,0.2690356570102992,-0.3178623195823995,-0.33487330671849946,-0.3960138533455968,-0.41370263077079983,-0.3958799262974999,16.868,16.6874500972464
17.321,17.0695755280308,0.2514244719692016,0.2690356570102992,-0.3178623195823995,-0.33487330671849946,-0.3960138533455968,-0.41370263077079983,16.729,16.5841846657795
17.4,17.1046780632613,0.29532193673869855,0.2514244719692016,0.2690356570102992,-0.3178623195823995,-0.33487330671849946,-0.3960138533455968,16.623,16.585730712799
17.181,17.0251980755451,0.15580192445490226,0.29532193673869855,0.2514244719692016,0.2690356570102992,-0.3178623195823995,-0.33487330671849946,16.209,16.0921510219402
16.851,16.7217279148326,0.12927208516740052,0.15580192445490226,0.29532193673869855,0.2514244719692016,0.2690356570102992,-0.3178623195823995,15.725,15.7712485071826
16.868,16.6874500972464,0.18054990275359728,0.12927208516740052,0.15580192445490226,0.29532193673869855,0.2514244719692016,0.2690356570102992,15.603,15.5057017094892
16.729,16.5841846657795,0.14481533422049964,0.18054990275359728,0.12927208516740052,0.15580192445490226,0.29532193673869855,0.2514244719692016,15.252,15.0450793325827
16.623,16.585730712799,0.037269287201002754,0.14481533422049964,0.18054990275359728,0.12927208516740052,0.15580192445490226,0.29532193673869855,14.98,14.8533995291227
16.209,16.0921510219402,0.11684897805979944,0.037269287201002754,0.14481533422049964,0.18054990275359728,0.12927208516740052,0.15580192445490226,15.003,14.8664605725595
15.725,15.7712485071826,-0.04624850718260021,0.11684897805979944,0.037269287201002754,0.14481533422049964,0.18054990275359728,0.12927208516740052,15.213,15.019119664244
15.603,15.5057017094892,0.09729829051079975,-0.04624850718260021,0.11684897805979944,0.037269287201002754,0.14481533422049964,0.18054990275359728,14.563,14.5834056710001
15.252,15.0450793325827,0.2069206674173003,0.09729829051079975,-0.04624850718260021,0.11684897805979944,0.037269287201002754,0.14481533422049964,14.454,14.4458235233903
14.98,14.8533995291227,0.12660047087729964,0.2069206674173003,0.09729829051079975,-0.04624850718260021,0.11684897805979944,0.037269287201002754,14.185,14.1393073327191
15.003,14.8664605725595,0.13653942744049985,0.12660047087729964,0.2069206674173003,0.09729829051079975,-0.04624850718260021,0.11684897805979944,14.384,14.3061398300747
15.213,15.019119664244,0.19388033575599906,0.13653942744049985,0.12660047087729964,0.2069206674173003,0.09729829051079975,-0.04624850718260021,14.994,14.9946483775207
14.563,14.5834056710001,-0.020405671000100156,0.19388033575599906,0.13653942744049985,0.12660047087729964,0.2069206674173003,0.09729829051079975,14.428,14.282476882656
14.454,14.4458235233903,0.00817647660969989,-0.020405671000100156,0.19388033575599906,0.13653942744049985,0.12660047087729964,0.2069206674173003,14.213,13.7190558569625
14.185,14.1393073327191,0.04569266728089971,0.00817647660969989,-0.020405671000100156,0.19388033575599906,0.13653942744049985,0.12660047087729964,13.844,13.2964110963251
14.384,14.3061398300747,0.07786016992529987,0.04569266728089971,0.00817647660969989,-0.020405671000100156,0.19388033575599906,0.13653942744049985,13.457,12.8525403487221
14.994,14.9946483775207,-0.0006483775207009046,0.07786016992529987,0.04569266728089971,0.00817647660969989,-0.020405671000100156,0.19388033575599906,14.189,13.5771590405023
